時刻,終値
9:00,1100
9:01,1100
9:02,1100
9:03,1100
9:04,1100
9:05,1100
9:06,1100
9:07,1100
9:08,1100
9:09,1100
9:10,1100
9:11,1100
9:12,1100
9:13,1100
9:14,1100
9:15,1100
9:16,1100
9:17,1100
9:18,1100
9:19,1100
9:20,1100
9:21,1100
9:22,1100
9:23,1100
9:24,1100
9:25,1100
9:26,1100
9:27,1100
9:28,1100
9:29,1100
9:30,1100
9:31,1100
9:32,1100
9:33,1100
9:34,1100
9:35,1100
9:36,1100
9:37,1100
9:38,1100
9:39,1100
9:40,1100
9:41,1100
9:42,1100
9:43,1100
9:44,1100
9:45,1100
9:46,1100
9:47,1100
9:48,1100
9:49,1100
9:50,1100
9:51,1100
9:52,1100
9:53,1100
9:54,1100
9:55,1100
9:56,1100
9:57,1100
9:58,1100
9:59,1100
10:00,1100
10:01,1100
10:02,1100
10:03,1100
10:04,1100
10:05,1100
10:06,1100
10:07,1100
10:08,1100
10:09,1100
10:10,1100
10:11,1100
10:12,1100
10:13,1100
10:14,1100
10:15,1100
10:16,1100
10:17,1100
10:18,1100
10:19,1100
10:20,1100
10:21,1100
10:22,1100
10:23,1100
10:24,1100
10:25,1100
10:26,1100
10:27,1100
10:28,1100
10:29,1100
10:30,1100
10:31,1100
10:32,1100
10:33,1100
10:34,1100
10:35,1100
10:36,1100
10:37,1100
10:38,1100
10:39,1100
10:40,1100
10:41,1100
10:42,1100
10:43,1100
10:44,1100
10:45,1100
10:46,1100
10:47,1100
10:48,1100
10:49,1100
10:50,1100
10:51,1100
10:52,1100
10:53,1100
10:54,1100
10:55,1100
10:56,1100
10:57,1100
10:58,1100
10:59,1100
11:00,1100
11:01,1100
11:02,1100
11:03,1100
11:04,1100
11:05,1100
11:06,1100
11:07,1100
11:08,1100
11:09,1100
11:10,1100
11:11,1100
11:12,1100
11:13,1100
11:14,1100
11:15,1100
11:16,1100
11:17,1100
11:18,1100
11:19,1100
11:20,1100
11:21,1100
11:22,1100
11:23,1100
11:24,1100
11:25,1100
11:26,1100
11:27,1100
11:28,1100
11:29,1100
11:30,1100
12:30,
12:31,
12:32,
12:33,
12:34,
12:35,
12:36,
12:37,
12:38,
12:39,
12:40,
12:41,
12:42,
12:43,
12:44,
12:45,
12:46,
12:47,
12:48,
12:49,
12:50,
12:51,
12:52,
12:53,
12:54,
12:55,
12:56,
12:57,
12:58,
12:59,
13:00,
13:01,
13:02,
13:03,
13:04,
13:05,
13:06,
13:07,
13:08,
13:09,
13:10,
13:11,
13:12,
13:13,
13:14,
13:15,
13:16,
13:17,
13:18,
13:19,
13:20,
13:21,
13:22,
13:23,
13:24,
13:25,
13:26,
13:27,
13:28,
13:29,
13:30,
13:31,
13:32,
13:33,
13:34,
13:35,
13:36,
13:37,
13:38,
13:39,
13:40,
13:41,
13:42,
13:43,
13:44,
13:45,
13:46,
13:47,
13:48,
13:49,
13:50,
13:51,
13:52,
13:53,
13:54,
13:55,
13:56,
13:57,
13:58,
13:59,
14:00,
14:01,
14:02,
14:03,
14:04,
14:05,
14:06,
14:07,
14:08,
14:09,
14:10,
14:11,
14:12,
14:13,
14:14,
14:15,
14:16,
14:17,
14:18,
14:19,
14:20,
14:21,
14:22,
14:23,
14:24,
14:25,
14:26,
14:27,
14:28,
14:29,
14:30,
14:31,
14:32,
14:33,
14:34,
14:35,
14:36,
14:37,
14:38,
14:39,
14:40,
14:41,
14:42,
14:43,
14:44,
14:45,
14:46,
14:47,
14:48,
14:49,
14:50,
14:51,
14:52,
14:53,
14:54,
14:55,
14:56,
14:57,
14:58,
14:59,
15:00,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
