日付,株価,
7月1日,10835,10835
7月2日,11010,10835
7月3日,11010,10835
7月4日,11245,10835
7月5日,11165,10835
7月8日,11090,10835
7月9日,11100,10835
7月10日,11250,10835
7月11日,11300,10835
7月12日,11270,10835
7月15日,11230,10835
7月16日,11210,10835
7月17日,11120,10835
7月18日,10940,10835
7月19日,10900,10835
7月22日,10850,10835
7月23日,10810,10835
7月24日,10710,10835
7月25日,10720,10835
7月26日,10730,10835
7月29日,10800,10835
7月30日,10630,10835
7月31日,10710,10835
8月1日,10760,10835
8月2日,10840,10835
8月3日,10920,10835
8月4日,11000,10835
8月5日,11010,10835
8月6日,11200,10835
8月7日,11300,10835
8月10日,11400,10835
