Date,Close
7/3,6200
7/10,6275
7/18,6363
7/24,6629
7/31,6581
8/7,6440
8/14,6327
8/21,6522
8/28,6790
9/4,6925
9/11,7394
9/19,7801
9/25,7347
10/2,7284
10/10,7292
10/16,7190
10/23,7310
10/30,7486
11/6,7031
11/13,7443
11/20,7340
11/27,7336
12/4,7239
12/11,6760
12/18,6840
12/25,6880
1/4,7160
1/9,7137
1/15,7280
1/22,7440
1/29,7620
2/5,7565
2/13,8019
2/19,8071
2/26,8450
3/4,9116
3/11,8507
3/18,9095
3/25,8909
4/1,8741
4/8,8962
4/15,8536
4/22,8787
4/30,8870
5/7,9000
5/13,9723
5/20,9789
5/27,10290
6/3,10185
6/10,9990
6/17,10000
6/24,10725
7/1,11165
