日付,終値,
5月1日,1010.1,1010.1
5月2日,991.7,1010.1
5月3日,993,1010.1
5月6日,989.1,1010.1
5月7日,995.3,1010.1
5月8日,992.9,1010.1
5月9日,990.4,1010.1
5月10日,985.8,1010.1
5月13日,984.5,1010.1
5月14日,980.7,1010.1
5月15日,980.2,1010.1
5月16日,977.9,1010.1
5月17日,979,1010.1
5月20日,977,1010.1
5月21日,973.9,1010.1
5月22日,977.6,1010.1
5月23日,978.1,1010.1
5月24日,978.4,1010.1
5月27日,981.6,1010.1
5月28日,979.3,1010.1
5月29日,979.3,1010.1
5月30日,983.4,1010.1
5月31日,986.6,1010.1
6月3日,985.7,1010.1
6月4日,984.8,1010.1
6月5日,990.4,1010.1
6月6日,988,1010.1
6月7日,986.2,1010.1
6月10日,985.6,1010.1
6月11日,983.8,1010.1
6月12日,986.5,1010.1
