Date,Close
11/1,984.1
11/2,983.8
11/3,978.3
11/6,979
11/7,981.6
11/8,977.5
11/9,983.5
11/10,981.8
11/13,982.7
11/14,985.8
11/15,985.4
11/16,986.3
11/17,982.5
11/20,980.4
11/21,980.3
11/22,977.7
11/23,976.7
11/24,977.4
11/27,976.5
11/28,979.3
11/29,980.4
11/30,986.1
12/1,986.4
12/4,990
12/5,993.1
12/6,991.3
12/7,995.6
12/8,993
12/11,996.6
12/12,994.4
12/13,991
12/14,989.9
12/15,995.6
12/18,994.4
12/19,989.2
12/20,988.1
12/21,984.9
12/22,984.3
12/25,980.7
12/26,981.2
12/27,979.8
12/28,978.9
12/29,977.2
1/1,978.7
1/2,978.1
1/3,977.1
1/4,968.8
1/5,967.1
1/8,973.4
1/9,974
1/10,971.3
1/11,976
1/12,972.8
1/15,974.2
1/16,976.2
1/17,979.7
1/18,974.2
1/19,972.9
1/22,971.1
1/23,972
1/24,977.5
1/25,974.8
1/26,974.5
1/29,974
1/30,972.5
1/31,976
2/1,971.2
2/2,967.9
2/5,968.4
2/6,963.5
2/7,960.6
2/8,960
2/9,960.4
2/12,962.4
2/13,965.9
2/14,964.4
2/15,963.9
2/16,965.8
2/19,967.1
2/20,963.7
2/21,962.1
2/22,959.9
2/23,961.2
2/26,958.4
2/27,961.3
2/28,962.1
2/29,960.9
3/1,956.9
3/4,955.9
3/5,958.6
3/6,955.6
3/7,959.7
3/8,960.7
3/11,964.9
3/12,966.2
3/13,967.3
3/14,969
3/15,973.5
3/18,975.4
3/19,976.1
3/20,976.4
3/21,974.9
3/22,974.5
3/25,973.3
3/26,973.9
3/27,975.8
3/28,972.8
3/29,969.4
4/1,970.7
4/2,968.7
4/3,967.4
4/4,963.9
4/5,966.9
4/8,964.4
4/9,964.8
4/10,967.4
4/11,965.7
4/12,965.4
4/15,963.8
4/16,961.8
4/17,962.8
4/18,961.3
4/19,960.9
4/22,958.2
4/23,956.1
4/24,958.1
4/25,960.7
4/26,963.6
4/29,964.6
4/30,961.9
5/1,964
