時間,株価
9:00,40660
9:01,40610
9:02,40700
9:03,40680
9:04,40760
9:05,40760
9:06,40790
9:07,40750
9:08,40760
9:09,40790
9:10,40740
9:11,40760
9:12,40760
9:13,40830
9:14,40860
9:15,40900
9:16,40920
9:17,40890
9:18,40910
9:19,40910
9:20,40890
9:21,40890
9:22,40860
9:23,40840
9:24,40860
9:25,40900
9:26,40910
9:27,40880
9:28,40880
9:29,40920
9:30,40900
9:31,40940
9:32,40930
9:33,40980
9:34,40980
9:35,40940
9:36,40920
9:37,40930
9:38,40920
9:39,40900
9:40,40940
9:41,40930
9:42,40900
9:43,40920
9:44,40920
9:45,40940
9:46,40870
9:47,40870
9:48,40890
9:49,40860
9:50,40840
9:51,40810
9:52,40840
9:53,40840
9:54,40820
9:55,40820
9:56,40820
9:57,40840
9:58,40830
9:59,40840
10:00,40840
10:01,40820
10:02,40800
10:03,40810
10:04,40790
10:05,40770
10:06,40730
10:07,40760
10:08,40780
10:09,40760
10:10,40760
10:11,40770
10:12,40760
10:13,40770
10:14,40770
10:15,40740
10:16,40740
10:17,40740
10:18,40710
10:19,40710
10:20,40730
10:21,40700
10:22,40700
10:23,40690
10:24,40700
10:25,40700
10:26,40730
10:27,40700
10:28,40700
10:29,40700
10:30,40700
10:31,40730
10:32,40730
10:33,40710
10:34,40720
10:35,40720
10:36,40710
10:37,40710
10:38,10720
10:39,40710
10:40,40690
10:41,40700
10:42,40710
10:43,40710
10:44,40730
10:45,40740
10:46,40710
10:47,40720
10:48,40710
10:49,40710
10:50,40700
10:51,40710
10:52,40720
10:53,40710
10:54,40720
10:55,40700
10:56,40710
10:57,40730
10:58,40750
10:59,40770
11:00,40760
11:01,40750
11:02,40730
11:03,40740
11:04,40730
11:05,40720
11:06,40710
11:07,40710
11:08,40690
11:09,40690
11:10,40700
11:11,40670
11:12,40650
11:13,40660
11:14,40660
11:15,40650
11:16,40650
11:17,40670
11:18,40670
11:19,40670
11:20,40650
11:21,40650
11:22,40650
11:23,40650
11:24,40640
11:25,40640
11:26,40640
11:27,40670
11:28,40660
11:29,40660
11:30,
11:31,
11:32,
11:33,
11:34,
11:35,
11:36,
11:37,
11:38,
11:39,
11:40,
11:41,
11:42,
11:43,
11:44,
11:45,
11:46,
11:47,
11:48,
11:49,
11:50,
11:51,
11:52,
11:53,
11:54,
11:55,
11:56,
11:57,
11:58,
11:59,
12:00,
12:01,
12:02,
12:03,
12:04,40700
12:05,40700
12:06,40750
12:07,40700
12:08,40730
12:09,40750
12:10,40750
12:11,40770
12:12,40780
12:13,40780
12:14,40780
12:15,40780
12:16,40790
12:17,40840
12:18,40840
12:19,40860
12:20,40840
12:21,40860
12:22,40840
12:23,40870
12:24,40850
12:25,40850
12:26,40830
12:27,40840
12:28,40830
12:29,40720
12:30,40780
12:31,40840
12:32,40830
12:33,40820
12:34,40790
12:35,40740
12:36,40730
12:37,40720
12:38,40700
12:39,40720
12:40,40720
12:41,40710
12:42,40730
12:43,40730
12:44,40730
12:45,40720
12:46,40710
12:47,40710
12:48,40650
12:49,40610
12:50,40560
12:51,40550
12:52,40540
12:53,40530
12:54,40540
12:55,40510
12:56,40500
12:57,40490
12:58,40500
12:59,40530
13:00,40500
13:01,40510
13:02,40510
13:03,40500
13:04,40510
13:05,40490
13:06,40500
13:07,40510
13:08,40510
13:09,40500
13:10,40490
13:11,40490
13:12,40510
13:13,40520
13:14,40530
13:15,40530
13:16,40540
13:17,40580
13:18,40560
13:19,40540
13:20,40540
13:21,40530
13:22,40530
13:23,40530
13:24,40460
13:25,40470
13:26,40430
13:27,40420
13:28,40400
13:29,40400
13:30,40400
13:31,40400
13:32,40380
13:33,40370
13:34,40360
13:35,40360
13:36,40350
13:37,40350
13:38,40350
13:39,40390
13:40,40390
13:41,40380
13:42,40390
13:43,40380
13:44,40360
13:45,40350
13:46,40350
13:47,40340
13:48,40320
13:49,40390
13:50,40450
13:51,40450
13:52,40460
13:53,40520
13:54,40520
13:55,40540
13:56,40550
13:57,40580
13:58,40570
13:59,40590
14:00,40560
14:01,40570
14:02,40550
14:03,40560
14:04,40560
14:05,40530
14:06,40530
14:07,40510
14:08,40520
14:09,40530
14:10,40530
14:11,40540
14:12,40560
14:13,40560
14:14,40560
14:15,40560
14:16,40550
14:17,40540
14:18,40510
14:19,40530
14:20,40530
14:21,40520
14:22,40520
14:23,40540
14:24,40530
14:25,40530
14:26,40530
14:27,40530
14:28,40520
14:29,40550
14:30,40560
14:31,40550
14:32,40550
14:33,40540
14:34,40500
14:35,40520
14:36,40520
14:37,40510
14:38,40520
14:39,40520
14:40,40530
14:41,40530
14:42,40540
14:43,40540
14:44,40530
14:45,40520
14:46,40530
14:47,40540
14:48,40540
14:49,40550
14:50,40560
14:51,40550
14:52,40560
14:53,40540
14:54,40540
14:55,40520
14:56,40550
14:57,40550
14:58,40540
14:59,40470
